Model,R²,RMSE,MAE
Random Forest,0.998457847084561,0.0019161549569340853,0.0009808402869202618
Extra Trees,0.9982823453054542,0.0020222499703388412,0.001330118091834669
Gradient Boosting,0.9980091932624398,0.0021771154424849743,0.0013731295190599047
SVR,0.9888495210014762,0.005152448616335556,0.004192941385944671
KNN,0.978906832013208,0.007086598256915028,0.004838158333333333
Bayesian Ridge,0.9595617780946036,0.009812121853620187,0.007484639470650553
Ridge,0.959548489892028,0.009813733877432984,0.007484521801826178
AdaBoost,0.9204218866357647,0.013764604165255188,0.010726530416970106
Neural Network,0.8180179866376742,0.02081522645858449,0.01613283488089364
